Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên,Tên món ăn,Carbohydrate,Calories,Protein,Sugar,Fiber dietary,Vitamin C,Vitamin D,Vitamin B12,Calcium,Iron,Cholesterol,Phosphorous,Folic acid,Saturated fat,Potassium,Sodium,Tiêu đề_lower,Nguyên liệu_lower,Sơ chế_lower,Thực hiện_lower,Cách dùng_lower,Mách nhỏ_lower,Thực đơn_lower,Tên món ăn_lower
Sò điệp xào bông hẹ mayonnaise,"Cồi sò điệp loại to: 200g, Bông hẹ non: 200g, Ớt sừng: 1 trái, Hành tỏi băm, Ngò rí, bột bắp, Tiêu, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Gà, Cồi sò điệp loại to: 200g, Bông hẹ non: 200g, Ớt sừng: 1 trái, Hành tỏi băm, Ngò rí, bột bắp, Tiêu, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Gà",,,,"Áo sơ sò điệp với Aji-quick® Bột Chiên Gà Giòn giúp sò điệp chín tới, giòn và không mất nước.Xào lửa lớn giúp món xào chín nhanh, giữ nước ngọt bên trong nguyên liệu.",,,,,,,,,,,,,,,,,,,,sò điệp xào bông hẹ mayonnaise,"cồi sò điệp loại to: 200g, bông hẹ non: 200g, ớt sừng: 1 trái, hành tỏi băm, ngò rí, bột bắp, tiêu, dầu ăn, xốt mayonnaise aji-mayo® vị nguyên bản, hạt nêm aji-ngon® gà, cồi sò điệp loại to: 200g, bông hẹ non: 200g, ớt sừng: 1 trái, hành tỏi băm, ngò rí, bột bắp, tiêu, dầu ăn, xốt mayonnaise aji-mayo® vị nguyên bản, hạt nêm aji-ngon® gà",nan,nan,nan,"áo sơ sò điệp với aji-quick® bột chiên gà giòn giúp sò điệp chín tới, giòn và không mất nước.xào lửa lớn giúp món xào chín nhanh, giữ nước ngọt bên trong nguyên liệu.",nan,nan
Bó củi bào ngư,"Thịt đùi heo  100g, Chả lụa   50g, Bào ngư hộp  1 hộp, Trứng gà chiên, cắt sợi  2 quả, Tôm sú luộc  150g (bóc vỏ, chừa đuôi), Cải bẹ xanh  80g (lấy phần lá), Bông hẹ chần   30 cọng, Dưa leo  1 quả, Gừng ngâm chua cắt sợi, ớt sừng cắt sợi, Rau thơm các loại, Nước dừa tươi, đậu phộng rang giã bể, Hành tỏi băm, ớt hiểm băm, Đường, ngũ vị hương, cái bỗng rượu, mật ong, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Thịt đùi heo  100g, Chả lụa   50g, Bào ngư hộp  1 hộp, Trứng gà chiên, cắt sợi  2 quả, Tôm sú luộc  150g (bóc vỏ, chừa đuôi), Cải bẹ xanh  80g (lấy phần lá), Bông hẹ chần   30 cọng, Dưa leo  1 quả, Gừng ngâm chua cắt sợi, ớt sừng cắt sợi, Rau thơm các loại, Nước dừa tươi, đậu phộng rang giã bể, Hành tỏi băm, ớt hiểm băm, Đường, ngũ vị hương, cái bỗng rượu, mật ong, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ""",,,"Xếp cuốn bào ngư ra dĩa, chấm với nước chấm.","Kết hợp cải bẹ xanh với dưa gừng giúp món ăn cân bằng về hàn nhiệt.Sên bỗng rượu với mật ong, giúp bỗng rượu dịu lại và thơm hơn.",,,Bó củi bào ngư,6.25,162.5,13.75,3.75,1.25,5.0,0.5,0.375,20.0,1.0,87.5,100.0,12.5,3.75,150.0,200.0,bó củi bào ngư,"thịt đùi heo  100g, chả lụa   50g, bào ngư hộp  1 hộp, trứng gà chiên, cắt sợi  2 quả, tôm sú luộc  150g (bóc vỏ, chừa đuôi), cải bẹ xanh  80g (lấy phần lá), bông hẹ chần   30 cọng, dưa leo  1 quả, gừng ngâm chua cắt sợi, ớt sừng cắt sợi, rau thơm các loại, nước dừa tươi, đậu phộng rang giã bể, hành tỏi băm, ớt hiểm băm, đường, ngũ vị hương, cái bỗng rượu, mật ong, hạt nêm aji-ngon® heo, nước tương ""phú sĩ"", thịt đùi heo  100g, chả lụa   50g, bào ngư hộp  1 hộp, trứng gà chiên, cắt sợi  2 quả, tôm sú luộc  150g (bóc vỏ, chừa đuôi), cải bẹ xanh  80g (lấy phần lá), bông hẹ chần   30 cọng, dưa leo  1 quả, gừng ngâm chua cắt sợi, ớt sừng cắt sợi, rau thơm các loại, nước dừa tươi, đậu phộng rang giã bể, hành tỏi băm, ớt hiểm băm, đường, ngũ vị hương, cái bỗng rượu, mật ong, hạt nêm aji-ngon® heo, nước tương ""phú sĩ""",nan,nan,"xếp cuốn bào ngư ra dĩa, chấm với nước chấm.","kết hợp cải bẹ xanh với dưa gừng giúp món ăn cân bằng về hàn nhiệt.sên bỗng rượu với mật ong, giúp bỗng rượu dịu lại và thơm hơn.",nan,bó củi bào ngư
Bún xào chay,"Bún gạo khô: 200g, Cà rốt: 50g, Nấm linh chi: 50g, Cần tây: 1 cọng, Hành boaro:  1/2 cây, Đậu hũ chiên: 1 miếng, Tàu hũ ki: 1 lá, Ớt hiểm, sa tế, muối, đường, tiêu, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Bún gạo khô: 200g, Cà rốt: 50g, Nấm linh chi: 50g, Cần tây: 1 cọng, Hành boaro:  1/2 cây, Đậu hũ chiên: 1 miếng, Tàu hũ ki: 1 lá, Ớt hiểm, sa tế, muối, đường, tiêu, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""",,,,"Bún gạo chỉ nâm mềm, không nên trụng nước sôi nếu không sẽ bị nát.Chiên tàu hũ ki với lửa vừa, nếu to quá sẽ cháy khét, nhỏ quá sẽ bị dai.Cho bún gạo và xào nhanh tay với lửa lớn để bún không bị bết lại.",,,Bún xào chay,,,,,,,,,,,,,,,,,bún xào chay,"bún gạo khô: 200g, cà rốt: 50g, nấm linh chi: 50g, cần tây: 1 cọng, hành boaro:  1/2 cây, đậu hũ chiên: 1 miếng, tàu hũ ki: 1 lá, ớt hiểm, sa tế, muối, đường, tiêu, bột ngọt aji-no-moto®, nước tương ""phú sĩ"", bún gạo khô: 200g, cà rốt: 50g, nấm linh chi: 50g, cần tây: 1 cọng, hành boaro:  1/2 cây, đậu hũ chiên: 1 miếng, tàu hũ ki: 1 lá, ớt hiểm, sa tế, muối, đường, tiêu, bột ngọt aji-no-moto®, nước tương ""phú sĩ""",nan,nan,nan,"bún gạo chỉ nâm mềm, không nên trụng nước sôi nếu không sẽ bị nát.chiên tàu hũ ki với lửa vừa, nếu to quá sẽ cháy khét, nhỏ quá sẽ bị dai.cho bún gạo và xào nhanh tay với lửa lớn để bún không bị bết lại.",nan,bún xào chay
Salad Nga,"Thịt nguội: 1 lát, Trứng gà: 2 quả, Cà rốt: 1 củ, Đậu bi: 50g, Ngò tây: 1nhánh, Khoai tây: 2 củ, Muối, tiêu, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Thịt nguội: 1 lát, Trứng gà: 2 quả, Cà rốt: 1 củ, Đậu bi: 50g, Ngò tây: 1nhánh, Khoai tây: 2 củ, Muối, tiêu, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,,Khi luộc trứng nên khuấy nhẹ để giữ lòng đỏ ở giữa.Rau củ sau khi luộc xong nên ngâm vào nước đã để giữ độ giòn và màu sắc.,,,Salad Nga,8.75,112.5,6.25,1.5,1.75,3.75,0.5,0.375,12.5,0.5,100.0,62.5,12.5,2.0,175.0,150.0,salad nga,"thịt nguội: 1 lát, trứng gà: 2 quả, cà rốt: 1 củ, đậu bi: 50g, ngò tây: 1nhánh, khoai tây: 2 củ, muối, tiêu, xốt mayonnaise aji-mayo® vị nguyên bản, thịt nguội: 1 lát, trứng gà: 2 quả, cà rốt: 1 củ, đậu bi: 50g, ngò tây: 1nhánh, khoai tây: 2 củ, muối, tiêu, xốt mayonnaise aji-mayo® vị nguyên bản",nan,nan,nan,khi luộc trứng nên khuấy nhẹ để giữ lòng đỏ ở giữa.rau củ sau khi luộc xong nên ngâm vào nước đã để giữ độ giòn và màu sắc.,nan,salad nga
Bắp bò xào sả ớt cơm cháy,"Bắp bò                300g, Sả băm               2M, Sả cây bào mỏng        1 cây, Tỏi băm               1M, Ớt băm                1m, Cơm trắng            1 chén, Đầu hành lá, ớt sừng cắt sợi, mỡ hành, Tiêu, đường, ngũ vị hương, Bột cà ri, dầu điều, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Bắp bò                300g, Sả băm               2M, Sả cây bào mỏng        1 cây, Tỏi băm               1M, Ớt băm                1m, Cơm trắng            1 chén, Đầu hành lá, ớt sừng cắt sợi, mỡ hành, Tiêu, đường, ngũ vị hương, Bột cà ri, dầu điều, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo","Bắp bò để tủ đá 15 phút, lấy ra cắt mỏng, ướp với 1/3m ngũ vị hương, 1/3m bột cà ri, 1/2m bột ngọt AJI-NO-MOTO®, 1/2M hạt nêm Aji-ngon®, 1M dầu điều, 1M sả băm, 1 M tỏi băm trộn đều, để thấm.",,"Cho bắp bò ra dĩa, rắc ít tiêu, ăn kèm với cơm cháy.",Làm cơm cháy khi cơm còn nóng thì độ kết dính sẽ tốt hơn.Xào nhanh tay với lửa lớn để thịt bò không bị dai và ra nhiều nước.,,,Bắp bò xào sả ớt cơm cháy,12.5,162.5,12.5,1.25,0.5,1.25,0.0,0.25,7.5,1.25,25.0,62.5,2.5,2.5,100.0,125.0,bắp bò xào sả ớt cơm cháy,"bắp bò                300g, sả băm               2m, sả cây bào mỏng        1 cây, tỏi băm               1m, ớt băm                1m, cơm trắng            1 chén, đầu hành lá, ớt sừng cắt sợi, mỡ hành, tiêu, đường, ngũ vị hương, bột cà ri, dầu điều, dầu ăn, bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, bắp bò                300g, sả băm               2m, sả cây bào mỏng        1 cây, tỏi băm               1m, ớt băm                1m, cơm trắng            1 chén, đầu hành lá, ớt sừng cắt sợi, mỡ hành, tiêu, đường, ngũ vị hương, bột cà ri, dầu điều, dầu ăn, bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo","bắp bò để tủ đá 15 phút, lấy ra cắt mỏng, ướp với 1/3m ngũ vị hương, 1/3m bột cà ri, 1/2m bột ngọt aji-no-moto®, 1/2m hạt nêm aji-ngon®, 1m dầu điều, 1m sả băm, 1 m tỏi băm trộn đều, để thấm.",nan,"cho bắp bò ra dĩa, rắc ít tiêu, ăn kèm với cơm cháy.",làm cơm cháy khi cơm còn nóng thì độ kết dính sẽ tốt hơn.xào nhanh tay với lửa lớn để thịt bò không bị dai và ra nhiều nước.,nan,bắp bò xào sả ớt cơm cháy
Giò heo kho nấm đông cô,"Giò heo: 800g, Nấm đông cô khô: 50g, Ớt hiểm khô:  5 trái, Tỏi: 10 tép, Dừa: 1 trái, Hành tím băm, nước hành tỏi, Dầu ăn, tiêu đen bể, muối, dầu hào, Bột ngọt AJI-NO-MOTO®, Giò heo: 800g, Nấm đông cô khô: 50g, Ớt hiểm khô:  5 trái, Tỏi: 10 tép, Dừa: 1 trái, Hành tím băm, nước hành tỏi, Dầu ăn, tiêu đen bể, muối, dầu hào, Bột ngọt AJI-NO-MOTO®",,,,"Chiên giò heo để tạo mùi thơm, độ săn, giảm chất béo.Ướp nấm đông cô để loại bỏ bớt độ nồng của nấm và tạo mùi thơm cho món ăn.",,,Giò heo kho nấm đông cô,,,,,,,,,,,,,,,,,giò heo kho nấm đông cô,"giò heo: 800g, nấm đông cô khô: 50g, ớt hiểm khô:  5 trái, tỏi: 10 tép, dừa: 1 trái, hành tím băm, nước hành tỏi, dầu ăn, tiêu đen bể, muối, dầu hào, bột ngọt aji-no-moto®, giò heo: 800g, nấm đông cô khô: 50g, ớt hiểm khô:  5 trái, tỏi: 10 tép, dừa: 1 trái, hành tím băm, nước hành tỏi, dầu ăn, tiêu đen bể, muối, dầu hào, bột ngọt aji-no-moto®",nan,nan,nan,"chiên giò heo để tạo mùi thơm, độ săn, giảm chất béo.ướp nấm đông cô để loại bỏ bớt độ nồng của nấm và tạo mùi thơm cho món ăn.",nan,giò heo kho nấm đông cô
Thịt vịt xào củ cải muối,"Ức vịt (không xương, còn da): 250 g (khứa, áp chảo), Dưa gừng Nhật (màu hồng): 50 g, Củ cải muối (loại sợi): 180g (đã ngâm và vắt ráo cho khỏi mặn), Ớt Đà Lạt vàng: 50 g, Hành tây: 1/2 củ, Nước dừa tươi: 1/2 chén, Cà bi: 100 g, Gừng: 50 g (Cắt sợi nhuyễn), Hành tỏi băm: 1M, RAU NÊM:	Hành lá, ngò rí, Gia vị: dầu ăn, đường, tiêu, muối, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo, Ức vịt (không xương, còn da): 250 g (khứa, áp chảo), Dưa gừng Nhật (màu hồng): 50 g, Củ cải muối (loại sợi): 180g (đã ngâm và vắt ráo cho khỏi mặn), Ớt Đà Lạt vàng: 50 g, Hành tây: 1/2 củ, Nước dừa tươi: 1/2 chén, Cà bi: 100 g, Gừng: 50 g (Cắt sợi nhuyễn), Hành tỏi băm: 1M, RAU NÊM:	Hành lá, ngò rí, Gia vị: dầu ăn, đường, tiêu, muối, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo",,,Món ăn ngon đi kèm:Canh cá hồng,"Thịt vịt có tính hàn nên kết hợp với gừng tạo ấm, giúp cân bằng hàn nhiệt chomón ăn.Chiêngừng sợi trước giúp dầu thơm ngon hợn khi xào.Ngâm củ cải muối với nước có pha muối giúp giảm mặn trong củ cải nhanh hơn.",,,Thịt vịt xào củ cải muối,8.75,162.5,11.25,3.75,1.75,20.0,0.0,0.25,15.0,0.75,37.5,75.0,10.0,3.75,150.0,200.0,thịt vịt xào củ cải muối,"ức vịt (không xương, còn da): 250 g (khứa, áp chảo), dưa gừng nhật (màu hồng): 50 g, củ cải muối (loại sợi): 180g (đã ngâm và vắt ráo cho khỏi mặn), ớt đà lạt vàng: 50 g, hành tây: 1/2 củ, nước dừa tươi: 1/2 chén, cà bi: 100 g, gừng: 50 g (cắt sợi nhuyễn), hành tỏi băm: 1m, rau nêm:	hành lá, ngò rí, gia vị: dầu ăn, đường, tiêu, muối, giấm gạo lên men ""ajinomoto"", hạt nêm aji-ngon® heo, ức vịt (không xương, còn da): 250 g (khứa, áp chảo), dưa gừng nhật (màu hồng): 50 g, củ cải muối (loại sợi): 180g (đã ngâm và vắt ráo cho khỏi mặn), ớt đà lạt vàng: 50 g, hành tây: 1/2 củ, nước dừa tươi: 1/2 chén, cà bi: 100 g, gừng: 50 g (cắt sợi nhuyễn), hành tỏi băm: 1m, rau nêm:	hành lá, ngò rí, gia vị: dầu ăn, đường, tiêu, muối, giấm gạo lên men ""ajinomoto"", hạt nêm aji-ngon® heo",nan,nan,món ăn ngon đi kèm:canh cá hồng,"thịt vịt có tính hàn nên kết hợp với gừng tạo ấm, giúp cân bằng hàn nhiệt chomón ăn.chiêngừng sợi trước giúp dầu thơm ngon hợn khi xào.ngâm củ cải muối với nước có pha muối giúp giảm mặn trong củ cải nhanh hơn.",nan,thịt vịt xào củ cải muối
Pancake khoai lang mật ong,"Khoai lang tím: 200g, Kem tươi: 70g, Bơ lạt: 30g, Mật ong: 50g, Hạt dẻ cười: 30g, RAU NÊM: húng lủi, Dụng cụ: túi tam giác bắt kem, Bột bánh rán pha sẵn vị truyền thống, Khoai lang tím: 200g, Kem tươi: 70g, Bơ lạt: 30g, Mật ong: 50g, Hạt dẻ cười: 30g, RAU NÊM: húng lủi, Dụng cụ: túi tam giác bắt kem, Bột bánh rán pha sẵn vị truyền thống",,,"Xếp bánh rán ra dĩa, cho nhân lên lần lượt 3 lớp bánh, trang trí với hạt dẻ cười rắc lên mặt.",Tán khoai khi còn nóng sẽ giúp cho khoai dễ mịn hơn.Rang sơ hạt dẻ cười giúp món ăn được thơm hơn.,,,Pancake khoai lang mật ong,18.75,130.0,1.75,8.75,1.25,1.0,0.15,0.025,15.0,0.2,17.5,25.0,3.75,5.0,112.5,20.0,pancake khoai lang mật ong,"khoai lang tím: 200g, kem tươi: 70g, bơ lạt: 30g, mật ong: 50g, hạt dẻ cười: 30g, rau nêm: húng lủi, dụng cụ: túi tam giác bắt kem, bột bánh rán pha sẵn vị truyền thống, khoai lang tím: 200g, kem tươi: 70g, bơ lạt: 30g, mật ong: 50g, hạt dẻ cười: 30g, rau nêm: húng lủi, dụng cụ: túi tam giác bắt kem, bột bánh rán pha sẵn vị truyền thống",nan,nan,"xếp bánh rán ra dĩa, cho nhân lên lần lượt 3 lớp bánh, trang trí với hạt dẻ cười rắc lên mặt.",tán khoai khi còn nóng sẽ giúp cho khoai dễ mịn hơn.rang sơ hạt dẻ cười giúp món ăn được thơm hơn.,nan,pancake khoai lang mật ong
Củ sen chiên tôm,"Củ sen : 600g, Tôm tươi: 200g, Giò sống: 250g, Trứng gà: 2 quả, Bột xù: 100g, Bột mì: 150g, Đường, tiêu, Hành, tỏi bằm, ngò rí, ớt, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Ngọt Dịu, Củ sen : 600g, Tôm tươi: 200g, Giò sống: 250g, Trứng gà: 2 quả, Bột xù: 100g, Bột mì: 150g, Đường, tiêu, Hành, tỏi bằm, ngò rí, ớt, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Ngọt Dịu",,,,"Củ sen to, có máu nhạt, còn tươi.Nên chiên ở lửa vừa, khi món ăn vừa chín tăng lửa lên để món ăn được giòn.",,,Củ sen chiên tôm,40.0,375.0,18.75,5.0,3.75,7.5,0.5,0.25,25.0,1.25,75.0,125.0,12.5,5.0,200.0,300.0,củ sen chiên tôm,"củ sen : 600g, tôm tươi: 200g, giò sống: 250g, trứng gà: 2 quả, bột xù: 100g, bột mì: 150g, đường, tiêu, hành, tỏi bằm, ngò rí, ớt, hạt nêm aji-ngon® heo, xốt mayonnaise aji-mayo® vị ngọt dịu, củ sen : 600g, tôm tươi: 200g, giò sống: 250g, trứng gà: 2 quả, bột xù: 100g, bột mì: 150g, đường, tiêu, hành, tỏi bằm, ngò rí, ớt, hạt nêm aji-ngon® heo, xốt mayonnaise aji-mayo® vị ngọt dịu",nan,nan,nan,"củ sen to, có máu nhạt, còn tươi.nên chiên ở lửa vừa, khi món ăn vừa chín tăng lửa lên để món ăn được giòn.",nan,củ sen chiên tôm
Bí xanh nhồi sườn hấp,"Bí đao xanh : 1 trái, Giò sống : 50g, Sườn non : 150g, Nấm hương cắt sợi : 1M, Hành tím nướng : 2 củ, Ớt sừng băm, Ngò rí, Gừng cắt sợi, Bột năng, dầu mè, dầu hào, Tiêu, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Bí đao xanh : 1 trái, Giò sống : 50g, Sườn non : 150g, Nấm hương cắt sợi : 1M, Hành tím nướng : 2 củ, Ớt sừng băm, Ngò rí, Gừng cắt sợi, Bột năng, dầu mè, dầu hào, Tiêu, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®",,,,Chọn sườn non dày thịt và xương nhỏ để hấp mau mềm.Dùng nước om sườn và nước hấp để làm xốt giúp món ăn có hương vị đậm đà.,,,Bí xanh nhồi sườn hấp,3.75,62.5,5.0,1.25,0.75,3.75,0.0,0.125,7.5,0.5,12.5,37.5,2.5,1.25,75.0,100.0,bí xanh nhồi sườn hấp,"bí đao xanh : 1 trái, giò sống : 50g, sườn non : 150g, nấm hương cắt sợi : 1m, hành tím nướng : 2 củ, ớt sừng băm, ngò rí, gừng cắt sợi, bột năng, dầu mè, dầu hào, tiêu, hạt nêm aji-ngon® heo, bột ngọt aji-no-moto®, bí đao xanh : 1 trái, giò sống : 50g, sườn non : 150g, nấm hương cắt sợi : 1m, hành tím nướng : 2 củ, ớt sừng băm, ngò rí, gừng cắt sợi, bột năng, dầu mè, dầu hào, tiêu, hạt nêm aji-ngon® heo, bột ngọt aji-no-moto®",nan,nan,nan,chọn sườn non dày thịt và xương nhỏ để hấp mau mềm.dùng nước om sườn và nước hấp để làm xốt giúp món ăn có hương vị đậm đà.,nan,bí xanh nhồi sườn hấp
Canh chua Thái,"Tôm càng lóng: 8 con, Nấm rơm: 200g, Hành tím củ: 100g, Cà chua chín đỏ: 2 quả, Lá chúc: 8 Lá, Sả cây: 2 cây, Ớt hiểm: 10 quả, Gừng sợi: 1M, Riềng sợi: 2M, Nước dừa: 500ml, Cốt dừa: 1 chén nhỏ, Cốt chanh: 1M, RAU NÊM: Ngò rí, ĂN KÈM:	Cơm, bún, Gia vị: Dầu điều, nước mắm, muối, đường, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Giấm gạo lên men ""Ajinomoto"", Tôm càng lóng: 8 con, Nấm rơm: 200g, Hành tím củ: 100g, Cà chua chín đỏ: 2 quả, Lá chúc: 8 Lá, Sả cây: 2 cây, Ớt hiểm: 10 quả, Gừng sợi: 1M, Riềng sợi: 2M, Nước dừa: 500ml, Cốt dừa: 1 chén nhỏ, Cốt chanh: 1M, RAU NÊM: Ngò rí, ĂN KÈM:	Cơm, bún, Gia vị: Dầu điều, nước mắm, muối, đường, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Giấm gạo lên men ""Ajinomoto""",,"Rang thơm càng tôm, vỏ tôm, cho thêm 0,5l nước nấu trong 5 phút, lược lại làm nước dùng.Xàothơm gừng, riềng, sả, ớt với dầu điều. Cho hành, nấm rơm vào xào nhanh. Thêm nước dừa + nước để đủ 1l nêm 2M Giấm gạo lên men, 1M cốt chanh, 1/2m hạt nêm heo, 1M đường, 1/2M bột ngọt, 1/4M muối, 4M nước mắm nếm vị chua mặn vừa ăn. Cho tôm, xé lá chanh vào nấu tôm chín, sau cùng cho cốt dừa vào đảo đều, tắt bếp hoàn tất.","Cho canh ra tô rắc ngò lên trên, dùng nóng với cơm hay bún miến v.v.. Món ăn ngon đi kèm:Sườn non kho củ sen",Lôt bỏ vỏ mình tôm để tôm thấm vị nhưng vẫn giữ được nguyên con tôm.Món canhtrông hấp dẫn hơn.Cho cả giấm và chanh tạo vị chua hài hòa.Cho cốt dừa và lá chúc sau cùng để giữ được vị béo và thơm đặc trưng của nguyên liệu.,,,Canh chua Thái,10.0,112.5,8.75,3.75,1.25,7.5,0.0,0.25,37.5,1.0,50.0,75.0,7.5,3.75,150.0,175.0,canh chua thái,"tôm càng lóng: 8 con, nấm rơm: 200g, hành tím củ: 100g, cà chua chín đỏ: 2 quả, lá chúc: 8 lá, sả cây: 2 cây, ớt hiểm: 10 quả, gừng sợi: 1m, riềng sợi: 2m, nước dừa: 500ml, cốt dừa: 1 chén nhỏ, cốt chanh: 1m, rau nêm: ngò rí, ăn kèm:	cơm, bún, gia vị: dầu điều, nước mắm, muối, đường, bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, giấm gạo lên men ""ajinomoto"", tôm càng lóng: 8 con, nấm rơm: 200g, hành tím củ: 100g, cà chua chín đỏ: 2 quả, lá chúc: 8 lá, sả cây: 2 cây, ớt hiểm: 10 quả, gừng sợi: 1m, riềng sợi: 2m, nước dừa: 500ml, cốt dừa: 1 chén nhỏ, cốt chanh: 1m, rau nêm: ngò rí, ăn kèm:	cơm, bún, gia vị: dầu điều, nước mắm, muối, đường, bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, giấm gạo lên men ""ajinomoto""",nan,"rang thơm càng tôm, vỏ tôm, cho thêm 0,5l nước nấu trong 5 phút, lược lại làm nước dùng.xàothơm gừng, riềng, sả, ớt với dầu điều. cho hành, nấm rơm vào xào nhanh. thêm nước dừa + nước để đủ 1l nêm 2m giấm gạo lên men, 1m cốt chanh, 1/2m hạt nêm heo, 1m đường, 1/2m bột ngọt, 1/4m muối, 4m nước mắm nếm vị chua mặn vừa ăn. cho tôm, xé lá chanh vào nấu tôm chín, sau cùng cho cốt dừa vào đảo đều, tắt bếp hoàn tất.","cho canh ra tô rắc ngò lên trên, dùng nóng với cơm hay bún miến v.v.. món ăn ngon đi kèm:sườn non kho củ sen",lôt bỏ vỏ mình tôm để tôm thấm vị nhưng vẫn giữ được nguyên con tôm.món canhtrông hấp dẫn hơn.cho cả giấm và chanh tạo vị chua hài hòa.cho cốt dừa và lá chúc sau cùng để giữ được vị béo và thơm đặc trưng của nguyên liệu.,nan,canh chua thái
Canh sườn nha đam,"Sườn non		 	200g, Nha đam		 	1 bẹ lớn, Đậu xanh nguyên hạt		 50g, Kỷ tử		 		10g, Hành lá		 		2 nhánh, Ngò rí		 		2 cây, RAU NÊM: hành ngò, ĂN KÈM: Nước mắm, ớt lát, Gia vị: dầu ăn, nước mắm, muối, tiêu, đường, Hạt nêm Aji-ngon® Heo, Sườn non		 	200g, Nha đam		 	1 bẹ lớn, Đậu xanh nguyên hạt		 50g, Kỷ tử		 		10g, Hành lá		 		2 nhánh, Ngò rí		 		2 cây, RAU NÊM: hành ngò, ĂN KÈM: Nước mắm, ớt lát, Gia vị: dầu ăn, nước mắm, muối, tiêu, đường, Hạt nêm Aji-ngon® Heo",,"Xào săn sườn với 1M dầu ăn, thêm 1,5 lít nước, đậu xanh, nêm 1M Hạt nêm Aji-ngon® Heo, 1/2m muối, 1m đường vào nấu nhỏ lửa cho sườn, đậu xanh chín mềm. Cuối cùng cho nha đam và 1/2M nước mắm, tắt lửa.","Múc canh ra tô rắc hành ngò, kỷ tử và tiêu xanh, dùng nóng với cơm.","Rửa nha đam qua nước muối để nha đam bớt nhớt và không bị đắng.Xào sơ sườn để thấm vị, miếng sườn sẽ thơm và ngọt thịt.Dùng đậu xanh nguyên vỏ để giữ chất xơ.",,,Canh sườn nha đam,6.25,112.5,8.75,1.25,1.25,2.0,0.0,0.2,12.5,0.75,25.0,62.5,7.5,2.0,100.0,150.0,canh sườn nha đam,"sườn non		 	200g, nha đam		 	1 bẹ lớn, đậu xanh nguyên hạt		 50g, kỷ tử		 		10g, hành lá		 		2 nhánh, ngò rí		 		2 cây, rau nêm: hành ngò, ăn kèm: nước mắm, ớt lát, gia vị: dầu ăn, nước mắm, muối, tiêu, đường, hạt nêm aji-ngon® heo, sườn non		 	200g, nha đam		 	1 bẹ lớn, đậu xanh nguyên hạt		 50g, kỷ tử		 		10g, hành lá		 		2 nhánh, ngò rí		 		2 cây, rau nêm: hành ngò, ăn kèm: nước mắm, ớt lát, gia vị: dầu ăn, nước mắm, muối, tiêu, đường, hạt nêm aji-ngon® heo",nan,"xào săn sườn với 1m dầu ăn, thêm 1,5 lít nước, đậu xanh, nêm 1m hạt nêm aji-ngon® heo, 1/2m muối, 1m đường vào nấu nhỏ lửa cho sườn, đậu xanh chín mềm. cuối cùng cho nha đam và 1/2m nước mắm, tắt lửa.","múc canh ra tô rắc hành ngò, kỷ tử và tiêu xanh, dùng nóng với cơm.","rửa nha đam qua nước muối để nha đam bớt nhớt và không bị đắng.xào sơ sườn để thấm vị, miếng sườn sẽ thơm và ngọt thịt.dùng đậu xanh nguyên vỏ để giữ chất xơ.",nan,canh sườn nha đam
