Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên
Trái cây và rau củ chiên giòn,"Dưa hấu : 150g, Dưa lưới : 100g, Khoai lang : 100g, Bí đỏ : 100g, Húng lũi cắt nhỏ : 1m, Mè đen rang, Tiêu, dầu ăn, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn, Xốt Mayonnaise Aji-mayo® Vị Ngọt Dịu, Dưa hấu : 150g, Dưa lưới : 100g, Khoai lang : 100g, Bí đỏ : 100g, Húng lũi cắt nhỏ : 1m, Mè đen rang, Tiêu, dầu ăn, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn, Xốt Mayonnaise Aji-mayo® Vị Ngọt Dịu",,,,Chiên nhanh trái cây để trái cây giữ được hương vị và không bị ra nhiều nước.Dùng mè đen để tạo mùi vị và màu sắc đẹp cho món ăn.,,
Lẩu sườn chua cay,"Sườn heo (chọn phần sụn): 300g, Bao tử heo:    300g, Dồi trường:    300g, Nước dừa tươi:    1 trái, Sả cây:     5 cây, Ớt hiểm:    7 trái, Tiêu xanh:     50g, Thơm:     1/4 trái, Hành tím bào:    100g, Hành tím củ, gừng:   100g, RAU NÊM: Rau quế., ĂN KÈM: Bún, nấm rơm, nấm bào ngư, nấm linh chi nâu, cà rốt tỉa bông, bông kim châm, hành lá., Gia vị:  Dầu ăn, muối, ớt bột VN (loại có vẩy), đường, nước mắm, ớt sa tế, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Sườn heo (chọn phần sụn): 300g, Bao tử heo:    300g, Dồi trường:    300g, Nước dừa tươi:    1 trái, Sả cây:     5 cây, Ớt hiểm:    7 trái, Tiêu xanh:     50g, Thơm:     1/4 trái, Hành tím bào:    100g, Hành tím củ, gừng:   100g, RAU NÊM: Rau quế., ĂN KÈM: Bún, nấm rơm, nấm bào ngư, nấm linh chi nâu, cà rốt tỉa bông, bông kim châm, hành lá., Gia vị:  Dầu ăn, muối, ớt bột VN (loại có vẩy), đường, nước mắm, ớt sa tế, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,,"Thưởng thức: Múc nước dùng qua nồi lẩu, cho bao tử, dồi trường, nấm, rau quế và các loại rau vào, ăn kèm bún tươi và nước mắm ớt.","Cho giấm vào nước luộc để bao tử, dồi trường trắng và giòn hơn.Chọn phần sườn sụn nhiều thịt để nấu lẩu sẽ ngon hơn.Cho Giấm gạo lên men LISA® vào sau cùng để tạo vị chua thanh cho món ăn.",,
Mực lụi sả nướng,"Mực ống nhỏ   200g (khoảng 4 con), Thịt xay    100g, Giò sống   50g, Sả cây    5 cây, Lá dứa    4 lá, Ớt sừng    1 trái, Sả băm, tỏi băm, ớt băm mỗi thứ 1M, ĂN KÈM: Cơm trắng, dưa leo, xà lách, húng lủi, Gia vị: tiêu, ớt bột, tương ớt, tắc, nước mắm, đường, Hạt nêm Aji-ngon® Heo, Mực ống nhỏ   200g (khoảng 4 con), Thịt xay    100g, Giò sống   50g, Sả cây    5 cây, Lá dứa    4 lá, Ớt sừng    1 trái, Sả băm, tỏi băm, ớt băm mỗi thứ 1M, ĂN KÈM: Cơm trắng, dưa leo, xà lách, húng lủi, Gia vị: tiêu, ớt bột, tương ớt, tắc, nước mắm, đường, Hạt nêm Aji-ngon® Heo",,,"Trình bày: cắt mực thành khoanh tròn, xếp ra dĩa, chấm với nước mắm sả.","Ướp thịt trước khi trộn với giò sống để thịt thấm vị. Không ướp giò sống vì giò sống đã có gia vị rồi.Lụi sả vào mực để phần nhân mỏng, chín đều cùng lớp mực bên ngoài và tăng mùi hương sả cho món ăn.",,
Cánh gà chiên tỏi lá chanh,"Cánh gà 		 600g, Nước chanh		 3M, Tỏi xay		 2M, Lá chanh		 3 lá, Ớt sừng		 1 trái, Hành tây		 1/4 củ, Sả xay		 1M, Mè trắng rang		 1/2M, ĂN KÈM: xà lách, cà chua, dưa leo, Gia vị: đường, dầu ăn, nước mắm, mè trắng rang, ngũ vị hương, tiêu, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Gà, Cánh gà 		 600g, Nước chanh		 3M, Tỏi xay		 2M, Lá chanh		 3 lá, Ớt sừng		 1 trái, Hành tây		 1/4 củ, Sả xay		 1M, Mè trắng rang		 1/2M, ĂN KÈM: xà lách, cà chua, dưa leo, Gia vị: đường, dầu ăn, nước mắm, mè trắng rang, ngũ vị hương, tiêu, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Gà",,,,Khứa phần tỏi gà giúp gà được chín đều gia vị hơn.Lá chanh rắc lên sau cùng giúp giữ mùi thơm của lá chanh.Cho nước chanh vào ướp cùng gia vị giúp gà khi chiên được giòn và thấm gia vị nhanh hơn.,,
Sườn chay kho đậu hũ,"Sườn chay khô	 		100g, Đậu hũ chiên			1 miếng, Nấm đùi gà baby	 	100g, Cà rốt	 			50g, Hành boaro	 		1 cây, Tiêu xanh	 		2 nhánh, Nước dừa tươi	 		1 chén, ĂN KÈM: Cơm, kiệu chua, Gia vị: dầu ăn, dầu điều, đường, tương ớt, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm, Sườn chay khô	 		100g, Đậu hũ chiên			1 miếng, Nấm đùi gà baby	 	100g, Cà rốt	 			50g, Hành boaro	 		1 cây, Tiêu xanh	 		2 nhánh, Nước dừa tươi	 		1 chén, ĂN KÈM: Cơm, kiệu chua, Gia vị: dầu ăn, dầu điều, đường, tương ớt, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm",,,,Chiên sơ sườn trước khi kho để sườn thơm và thấm vị.Tiêu xanh đập dập để có hương thơm đặc trưng.,,
Gà xào cà ri,"Thịt gà má đùi lọc xương    200g, Thơm chín    1/4 quả, Hành tây    1/2 củ nhỏ, Nước cốt dừa    2M, Hành tỏi băm    1M, Xà lách búp    2 cây, Lá chanh, ớt sừng cắt sợi, Bột cà ri, dầu hào, dầu ăn, Hạt nêm Aji-ngon® Heo, Thịt gà má đùi lọc xương    200g, Thơm chín    1/4 quả, Hành tây    1/2 củ nhỏ, Nước cốt dừa    2M, Hành tỏi băm    1M, Xà lách búp    2 cây, Lá chanh, ớt sừng cắt sợi, Bột cà ri, dầu hào, dầu ăn, Hạt nêm Aji-ngon® Heo",,,"Xếp lá xà lách ra dĩa (giống bông hoa), cho thịt gà trộn lá chanh, trang trí ớt sợi và rau thơm lên trên.",Ướp thịt gà với bột cà ri và nước cốt dừa để thịt gà thơm và béo hơn.Trộn lá chanh sau cùng để tạo mùi thơm cho món ăn mà không bị đắng.,,
Bánh rán Chocolate,"Chuối cau     5 trái, Bơ lạt      1M, Nho     2 lạng, Dâu tây      6 quả, Húng lủi/húng bạc hà, Mật ong, bột quế, Bột bánh rán pha sẵn vị truyền thống, Bột bánh rán pha sẵn vị Sô-Cô-La, Chuối cau     5 trái, Bơ lạt      1M, Nho     2 lạng, Dâu tây      6 quả, Húng lủi/húng bạc hà, Mật ong, bột quế, Bột bánh rán pha sẵn vị truyền thống, Bột bánh rán pha sẵn vị Sô-Cô-La",,,"Xếpbánh ránra dĩa, trang trí với nho và dâu rồi dùng kèm chuối rim mật ong.",Dùng khăn ướt để hạ nhiệt độ của chảo trước khi đổ bánh giúp bánh chín đều và không bị cháy.,,
Thịt gà kho kim chi,"Đùi gà góc tư : 300g, Kim chi cải thảo Hàn quốc : 250g (Thêm 1 chén nước kim chi), Củ cải trắng : 150g, Hẹ lá : 5 cây, Gừng cắt sợi : 2M, Hành tỏi băm : 2M, Tiêu, đường, dầu ăn, Hạt nêm Aji-ngon® Gà, Đùi gà góc tư : 300g, Kim chi cải thảo Hàn quốc : 250g (Thêm 1 chén nước kim chi), Củ cải trắng : 150g, Hẹ lá : 5 cây, Gừng cắt sợi : 2M, Hành tỏi băm : 2M, Tiêu, đường, dầu ăn, Hạt nêm Aji-ngon® Gà",,,,"Ướp thịt gà với nước kim chi có độ chua, giúp sau khi kho, da thịt gà vẫn còn giữ độ giòn nhẹ.Cho kim chi cải thảo vào sau cùng để giữ độ giòn.Cần nêm lại khi cho cải thảo vào vì tùy theo độ chua, mặn của kim chi mà điều chỉnh gia vị cho phù hợp",,
Bánh khoai tím nhân thịt,"Thịt heo xay: 50g, Tôm đất xay: 100g, Khoai mỡ tím: 100g, Giò sống: 50g, Trứng cút luộc: 10 quả, Nấm mèo băm nhuyễn, Hành tím băm, hành lá, Tiêu, gia vị thông thường, Hạt nêm Aji-ngon® Heo, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn, Thịt heo xay: 50g, Tôm đất xay: 100g, Khoai mỡ tím: 100g, Giò sống: 50g, Trứng cút luộc: 10 quả, Nấm mèo băm nhuyễn, Hành tím băm, hành lá, Tiêu, gia vị thông thường, Hạt nêm Aji-ngon® Heo, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn",,,,"Chọn khoai có màu tím đẹp, trên mặt có nhiều chất nhầy là khoai ngon.Thoa một ít dầu ăn lên tay, khi bọc nhân sẽ không bị dính.",,
Mọc cốm chiên giòn,"Giò sống: 200g, Tai heo luộc cắt nhỏ: 50g, Cốm Bắc: 80g (chọn cốm có màu xanh nhạt tự nhiên), Ớt sừng cắt nhỏ: 1 trái, ĂN KÈM:Rau mầm, húng láng, tía tô, Gia vị: Hành tỏi băm, đường, bột  ngọt, tiêu sọ xay, cọng ngò rí băm, hành lá, dầu ăn, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Giò sống: 200g, Tai heo luộc cắt nhỏ: 50g, Cốm Bắc: 80g (chọn cốm có màu xanh nhạt tự nhiên), Ớt sừng cắt nhỏ: 1 trái, ĂN KÈM:Rau mầm, húng láng, tía tô, Gia vị: Hành tỏi băm, đường, bột  ngọt, tiêu sọ xay, cọng ngò rí băm, hành lá, dầu ăn, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn",,,"Bày chả cốm cùng rau mầm, húng láng, tía tô. Khi ăn chấm với xốt. Món ăn ngon đi kèm:Canh cá hồng","Chọn cốm Bắc có màu xanh nhạt tự nhiên, chọn cốm tươi thì món ăn càng ngon.Giò sống và gia vị nêm sẵn bột tẩm khô chiên giòn đã có gia vị nên không cần thêm vị mặn vào chả cốm.Để chả nguội bớt mới cắt, giúp chả ko bị mất nước ngọt",,
Bao tử kho xốt cay,"Bao tử heo làm sạch (khoảng 600g)  1 cái, Gừng băm nhỏ     2M, Ớt hiểm băm nhỏ    2M, Hoa xuyên tiêu rang giã bể   1M, Hành tím củ nhỏ    10 củ, Tỏi củ nhỏ     10 củ, Đầu hành lá cắt khúc    2M, Nước dừa tươi     1 trái, RAU NÊM: Hành lá cắt nhỏ, ĂN KÈM: Cơm trắng, Đường, dầu ăn, dầu màu điều, dầu hào, tiêu sọ bể, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Giấm gạo lên men ""Ajinomoto"", Bao tử heo làm sạch (khoảng 600g)  1 cái, Gừng băm nhỏ     2M, Ớt hiểm băm nhỏ    2M, Hoa xuyên tiêu rang giã bể   1M, Hành tím củ nhỏ    10 củ, Tỏi củ nhỏ     10 củ, Đầu hành lá cắt khúc    2M, Nước dừa tươi     1 trái, RAU NÊM: Hành lá cắt nhỏ, ĂN KÈM: Cơm trắng, Đường, dầu ăn, dầu màu điều, dầu hào, tiêu sọ bể, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Giấm gạo lên men ""Ajinomoto""","Bao tử rửa sạch, để ráo rồi cắt miếng vừa ăn ướp vào 2m bột ngọt AJI-NO-MOTO®, 1m tiêu sọ bể, 2M đường, 1M dầu hào, 1M giấm gạo lên men của Ajinomoto, 2M ớt hiểm băm, 3M nước tương “Phú Sĩ “, trộn đều để bao tử 20 phút cho bao tử thấm gia vị. Hành tím, tỏi củ đập dập.","Làm nóng dầu cho tỏi đập dập, hành tím đập dập, gừng băm vào phi thơm, sau đó cho hoa xuyên tiêu vào, cho bao tử vào xào săn rám mặt, cho nước dừa vào từ từ, kho với lửa vừa cho đến khi bao từ mềm và nước kho sánh sệt, màu dầu điều vào đảo đều tắt lửa. Cho đầu hành lá vào.",Múc bao tử ra dĩa cho ít hành lá cắt nhỏ lên trên dùng nóng kèm cơm trắng.,Xào rám bề mặt bao tử để món ăn thơm hơn.Cho nước dừa từ từ khi kho để bao tử mềm mà giòn sần sật.,,
Canh đuôi bò củ cải,"Đuôi bò: 400g, Củ cải trắng: 300g, Cà rốt: 50g, Gừng nhỏ: 1 củ, Sả: 2 cây, Kỷ tử: 1m, Hành tím băm, hành lá, ngò rí, Tiêu, muối, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Heo, Đuôi bò: 400g, Củ cải trắng: 300g, Cà rốt: 50g, Gừng nhỏ: 1 củ, Sả: 2 cây, Kỷ tử: 1m, Hành tím băm, hành lá, ngò rí, Tiêu, muối, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Heo",,,,Xào đuôi bò với hành tím và gừng băm để thịt săn và thơm hơnNên cho rau củ vào nấu sau khi đuôi bò vừa mềm để nguyên liệu chín đều.,,
Gỏi cuốn cá hồi,"Cá hồi (không da)   250g, Xà lách Đà Lạt    50g, Dưa leo cắt thanh 6cm  1 trái, Rau thơm    50g, Cải mầm cay   30g, Bún      200g, Chanh vàng    1 quả, Bánh tráng    20 cái, Ớt sừng cắt sợi   1 trái, Gia vị: Muối, tiêu, đường, tỏi ớt băm, dầu ô liu, nước mắm, mật ong, nước cốt chanh, Giấm gạo lên men ""Ajinomoto"", Cá hồi (không da)   250g, Xà lách Đà Lạt    50g, Dưa leo cắt thanh 6cm  1 trái, Rau thơm    50g, Cải mầm cay   30g, Bún      200g, Chanh vàng    1 quả, Bánh tráng    20 cái, Ớt sừng cắt sợi   1 trái, Gia vị: Muối, tiêu, đường, tỏi ớt băm, dầu ô liu, nước mắm, mật ong, nước cốt chanh, Giấm gạo lên men ""Ajinomoto""",,,"Xếp gỏi cuốn cá hồi ra dĩa, dọn kèm nước mắm chua ngọt.","Áp chảo cá vừa chìn tơi, bên trong còn tái để giữ độ ngọt thơm cho cá hồi.Để cá nguội rồi mới tách cá để giữ được độ ngọt từ cá.CÔNG THỨC MÓN NGON TẬP ĐẶC BIỆT KỶ NIỆM 10 NĂM:–Canape cá hồi xông khói–Gỏi cuốn cá hồi–Cá hồi nướng mía–Cá hồi chiên sốt chanh",,
Cá đối kho cà chua,"Cá đối: 500g, Cà chua: 3 trái, Hành tỏi băm: 2M, Ớt hiểm: 2 trái, Hành lá: 2 cây, Tiêu, muối, nước mắm, dầu điều, đường, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Nước tương ""Phú Sĩ"", Cá đối: 500g, Cà chua: 3 trái, Hành tỏi băm: 2M, Ớt hiểm: 2 trái, Hành lá: 2 cây, Tiêu, muối, nước mắm, dầu điều, đường, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Nước tương ""Phú Sĩ""",,,,"Dùng cà chua băm nhỏ để tạo hương vị và màu sắc đẹp cho món ăn, cà chua cắt múi giúp món ăn có tạo hình đẹp mắt hơn.Sử dụng giấm lúc ướp giúp cá có vị chua nhẹ và mùi thơm đặc trưng.",,
Dưa chuột ngâm giấm,"Dưa chuột	500g, Gừng	40g, Ớt hiểm xanh đỏ	10 trái, Đường phèn	100g, Dưa kiệu đã ngâm	50g, Gia vị: muối, đường, hạt ngò tươi, Nước tương ""Phú Sĩ"", Giấm gạo lên men ""Ajinomoto"", Dưa chuột	500g, Gừng	40g, Ớt hiểm xanh đỏ	10 trái, Đường phèn	100g, Dưa kiệu đã ngâm	50g, Gia vị: muối, đường, hạt ngò tươi, Nước tương ""Phú Sĩ"", Giấm gạo lên men ""Ajinomoto""",,,Món ăn ngon đi kèm:Nem nướng,"Chọn dưa chuột trái nhỏ, ít ruột hoặc dưa non khi ngâm sẽ giòn ngon.Thêm ít gừng vào món ngâm chua giúp món ăn tăng thêm hương vị.Gài phần dưa ngập trong nước giấm để dưa giòn, không bị mềm.",,
Gỏi rau cần thịt bò,"Thịt bò phi lê: 150g, Rau cần cạn: 200g, Hành tây: 1 củ, Hành tím: 3 củ, Ớt sừng cắt sợi: 1 trái, Mè rang: 2M, Ăn kèm: bánh đa chiên, Muối, đường, nước mắm, tương ớt, Tỏi băm, ớt băm, rau răm, Giấm gạo lên men ""Ajinomoto"", Bột ngọt AJI-NO-MOTO®, Thịt bò phi lê: 150g, Rau cần cạn: 200g, Hành tây: 1 củ, Hành tím: 3 củ, Ớt sừng cắt sợi: 1 trái, Mè rang: 2M, Ăn kèm: bánh đa chiên, Muối, đường, nước mắm, tương ớt, Tỏi băm, ớt băm, rau răm, Giấm gạo lên men ""Ajinomoto"", Bột ngọt AJI-NO-MOTO®",,,,"Trụng thịt bò trong nước có pha giấm giúp thịt bò không bị khô, giữ được chất ngọt và màu sắc đẹp hơn.Ngâm rau cần với nước vo gạo giúp cho rau sạch và tiết kiệm thời gian.",,
Lẩu xí quách kim chi,"Xương heo (xương cố hoặc xương ống)		 400g, Đậu hũ chiên 		 1 miếng, Nấm rơm cắt chữ thập trên đầu		 100g, Hành tím		 10 củ, Ớt hiểm		 2 trái, Sữa tươi không đường		 1 chén, Lá quế		 3 nhánh, RAU NÊM:	Cải hảo, tần ô, nấm linh chi, nấm kim châm, kim chi, ĂN KÈM:	Bún tươi, Gia vị: 	Dầu ăn, nước mắm, Gia vị nêm sẵn Aji-Quick® Lẩu Kim Chi, Xương heo (xương cố hoặc xương ống)		 400g, Đậu hũ chiên 		 1 miếng, Nấm rơm cắt chữ thập trên đầu		 100g, Hành tím		 10 củ, Ớt hiểm		 2 trái, Sữa tươi không đường		 1 chén, Lá quế		 3 nhánh, RAU NÊM:	Cải hảo, tần ô, nấm linh chi, nấm kim châm, kim chi, ĂN KÈM:	Bún tươi, Gia vị: 	Dầu ăn, nước mắm, Gia vị nêm sẵn Aji-Quick® Lẩu Kim Chi",,,"Dùng nóng, kèm bún và các lại rau nấm. Món ăn ngon đi kèm:Trà sữa hoa đậu biếc",Xào xương heo với sả ớt và hành tím để xương heo có mùi thơm hơn.Cho sữa tươi để tạo vị béo đặc trưng cho món ăn.Tắt lửa rồi mới cho sữa tươi vào để sữa tươi không bị vón cục.,,
Salad rong biển thanh cua,"Xà lách Mỹ 50g, Xà lách lolo 50g, Cà chua bi 100g, Dưa leo 100g, Rong biển wakame 3g, Thanh cua 4 cây, Hạnh nhân lát 10g, Xốt mè rang ""Aji-Xốt"", Gia vị nêm sẵn Aji-Quick® Bột chiên giòn, Xà lách Mỹ 50g, Xà lách lolo 50g, Cà chua bi 100g, Dưa leo 100g, Rong biển wakame 3g, Thanh cua 4 cây, Hạnh nhân lát 10g, Xốt mè rang ""Aji-Xốt"", Gia vị nêm sẵn Aji-Quick® Bột chiên giòn",,"Trộn đều thanh cua với 3M Bột chiên giòn, búng vài giọt nước, chiên giòn, vớt ra để nguội",,"Xé nhỏ thanh cua, sau đó chiên giòn giúp món ăn giòn giòn và thú vị hơnRong biển ngâm 5p vớt ra để ráo, không nên ngâm lâu sẽ bị bởDùng Xốt Mè Rang “Aji-Xốt” giúp món salad đậm thơm vị mè và hấp dẫn hơn","Thực đơn giảm khối mỡ thừa của cơ thể
1400 kcal. G:P:L=57:18:25
BỮA ĂN | NĂNG LƯỢNG | MÓN ĂN | NGUYÊN LIỆU
Sáng | 450 | Phở bò bắp hoa | 1 khẩu phần
Tráng miệng: Chuối | 1 trái
Trưa | 500 | Cơm | 1.5 chén
Canh hến dưa cải | 1 khẩu phần
Chả cá kho vân trứng | 1 khẩu phần
Bông thiên lý xào hải sản | 1/2 khẩu phần
Tráng miệng: Đu đủ | 100g
Tối | 450 | Bánh mì kẹp phô mai thịt nguội | 1 khẩu phần, không ăn khoai tây
Salad rong biển thanh cua (120 kcal)
Tráng miệng: Mít | 200g",
Cá cuộn Jambon chiên,"Fillet cá điêu hồng (bản to)	300g, Jambon lát 		 	100g, Lá chanh thái			5 lá, Chanh vàng		 	1 trái, Tăm ghim, Gia vị: Tương xí muội, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Fillet cá điêu hồng (bản to)	300g, Jambon lát 		 	100g, Lá chanh thái			5 lá, Chanh vàng		 	1 trái, Tăm ghim, Gia vị: Tương xí muội, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn",,,"Xếp cuốn cá chiên giòn ra dĩa, chấm kèm với Xốt Mayonnaise Aji-mayo® pha.","Ướp nước cốt chanh giúp thịt cá có mùi thơm, không tanh.Chiên cuộn cá khoảng 3-4 phút cho vừa chín tới, không chiên lâu vì cá sẽ bị khô.Khi cắt cá thì nghiêng dao để cắt được bản mỏng và giữ 1 lớp da dính với cá.",,
Gà nấu đông,"Thịt ức gà: 500g, Da heo: 100g, Chân gà: 200g, Nấm hương: 10g, Cà rốt: 1/2 củ, Đậu Hà lan: 5 trái, Nấm mèo: 2 tai, Hành tím, muối, tiêu sọ, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Thịt ức gà: 500g, Da heo: 100g, Chân gà: 200g, Nấm hương: 10g, Cà rốt: 1/2 củ, Đậu Hà lan: 5 trái, Nấm mèo: 2 tai, Hành tím, muối, tiêu sọ, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®",,,,"Có thể dùng bột gelatin hòa với nước, nấu tan để thay da heo.",,
Canh chua củ hủ dừa tôm đất,"Củ hũ dừa:    300g (chọn lấy phần thân), Tôm đất làm sạch: 150g, Cà chua bi:   50g, Tỏi băm:   1M, Nước lọc:   1 lít, RAU NÊM: Rau răm, tỏi phi, ĂN KÈM: Cơm trắng/ bún tươi và nước mắm ớt, Gia vị: Dầu ăn, nước mắm, Gia vị nêm sẵn Aji-Quick® Lẩu Thái, Củ hũ dừa:    300g (chọn lấy phần thân), Tôm đất làm sạch: 150g, Cà chua bi:   50g, Tỏi băm:   1M, Nước lọc:   1 lít, RAU NÊM: Rau răm, tỏi phi, ĂN KÈM: Cơm trắng/ bún tươi và nước mắm ớt, Gia vị: Dầu ăn, nước mắm, Gia vị nêm sẵn Aji-Quick® Lẩu Thái",,,"Múc canh ra tô, cho thêm tỏi phi, dùng nóng kèm cơm trắng hoặc bún tươi và nước mắm ớt.",Tôm đập dập nhẹ để món canh ngọt vị hơn.Ướp tôm với Gia vị nêm sẵn Aji-Quick® Lẩu Thái để giúp tôm thấm vị ngon hơn.,,
Ếch xào chua ngọt,"Đùi ếch    400g, Ớt Đà Lạt xanh, đỏ, vàng 3 trái (mỗi loại), Hành tây tím    1/2 củ, Gừng cắt nhuyễn   15g, Tỏi băm    1M, Củ kiệu chua cắt sợi   20g, Nước củ kiệu     2M, Gia vị:  Đường, tiêu, bột mì, tương ớt, tương cà (ketchup), rượu nếp, dầu ăn, Giấm gạo lên men ""Ajinomoto"", Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Đùi ếch    400g, Ớt Đà Lạt xanh, đỏ, vàng 3 trái (mỗi loại), Hành tây tím    1/2 củ, Gừng cắt nhuyễn   15g, Tỏi băm    1M, Củ kiệu chua cắt sợi   20g, Nước củ kiệu     2M, Gia vị:  Đường, tiêu, bột mì, tương ớt, tương cà (ketchup), rượu nếp, dầu ăn, Giấm gạo lên men ""Ajinomoto"", Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,Dùng nóng với cơm trắng.,"Nên chọn đùi ếch có kích thước đều nhau để sau khi chiên chín đồng đều, đẹp mắt.Nên tẩm thịt ếch qua bột mì giúp ếch sau khi chiên sẽ giữ được vị ngọt của thịt ếch.",,
Đậu bắp thịt gà xào chao,"Thịt má đùi gà: 100g, Đậu bắp: 300g, Gừng băm: 1M, Ớt sừng: 1 trái, Rau om: 2 cọng, Đường, chao, tiêu, dầu ăn, Hạt nêm Aji-ngon® Gà, Thịt má đùi gà: 100g, Đậu bắp: 300g, Gừng băm: 1M, Ớt sừng: 1 trái, Rau om: 2 cọng, Đường, chao, tiêu, dầu ăn, Hạt nêm Aji-ngon® Gà",,,,"Chọn đậu bắp non, không già khi xào sẽ ngon hơn.Cho nước chao vào cuối cùng để món ăn có hương vị đặc trưng.",,
Phở bò bắp hoa,"Thịt bò nạm     300g, Thịt bò bắp hoa     300g, Bò viên      150g, Bánh phở     500g, Hành tây     1/2 củ, Hành lá      4 cây, Hành tím nướng    5 củ, Gừng nướng     1 củ nhỏ, RAU NÊM: Hành lá, ngò gai, rau quế, rau om, ĂN KÈM: Giá, tương đen, tương đỏ, chanh, ớt, Gia vị: tiêu, nước nắm, Bột ngọt AJI-NO-MOTO®, Gia vị nêm sẵn Aji-Quick® Phở Bò, Thịt bò nạm     300g, Thịt bò bắp hoa     300g, Bò viên      150g, Bánh phở     500g, Hành tây     1/2 củ, Hành lá      4 cây, Hành tím nướng    5 củ, Gừng nướng     1 củ nhỏ, RAU NÊM: Hành lá, ngò gai, rau quế, rau om, ĂN KÈM: Giá, tương đen, tương đỏ, chanh, ớt, Gia vị: tiêu, nước nắm, Bột ngọt AJI-NO-MOTO®, Gia vị nêm sẵn Aji-Quick® Phở Bò",,"Nấu nước dùng: Đun sôi 1,5 lít nước luộc bò, nêm 1 gói Aji-Quick® Gia vị nêm sẵn Phở Bò vào, khuấy đều cho tan gia vị. Cho bò viên và đầu hành lá vào.","Trụng nóng bánh phở và giá, cho vào tô, xếp thịt bò nạm và vớt bò viên, trụng bò bắp hoa cho lên trên, rắc thêm hành lá, hành tây và tiêu, chan nước dùng cùng đầu hành lên trên cùng, dùng kèm rau quế, rau om, ngò gai, tương đen, tương ớt, chanh ớt tùy khẩu vị.",,,
Canh tôm nấm mồng tơi,"Tôm tươi: 3 con, Giò sống: 100g, Nấm bào ngư: 100g, Rau mồng tơi: 300g, Cà chua: 1 trái, Hành tỏi băm: 1M, Cọng ngò băm: 1m, Gia vị: Dầu ăn, tiêu, nước mắm, Gia vị nêm sẵn Aji-Quick® Lẩu Thái, Tôm tươi: 3 con, Giò sống: 100g, Nấm bào ngư: 100g, Rau mồng tơi: 300g, Cà chua: 1 trái, Hành tỏi băm: 1M, Cọng ngò băm: 1m, Gia vị: Dầu ăn, tiêu, nước mắm, Gia vị nêm sẵn Aji-Quick® Lẩu Thái",,,"Múc canh tôm viên nấm mồng tơi ra tô, dùng nóng với cơm.",Xào đầu tôm trước khi nấu canh giúp nước canh tăng độ ngọt và mùi thơm của tôm.Ướp tôm với Gia vị nêm sẵn Aji-Quick® Lẩu Thái giúp tăng hương vị đặc trưng cho món ăn.Nấu canh vừa chín tới để rau giữ được màu tự nhiên và hương vị ngọt giòn của rau.,,
