Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên,Translated_Ingredients
Sò điệp xào bông hẹ mayonnaise,"Cồi sò điệp loại to: 200g, Bông hẹ non: 200g, Ớt sừng: 1 trái, Hành tỏi băm, Ngò rí, bột bắp, Tiêu, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Gà, Cồi sò điệp loại to: 200g, Bông hẹ non: 200g, Ớt sừng: 1 trái, Hành tỏi băm, Ngò rí, bột bắp, Tiêu, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Gà",,,,"Áo sơ sò điệp với Aji-quick® Bột Chiên Gà Giòn giúp sò điệp chín tới, giòn và không mất nước.Xào lửa lớn giúp món xào chín nhanh, giữ nước ngọt bên trong nguyên liệu.",,,"Large scallops: 200g, young chives: 200g, chili horn: 1 fruit, minced garlic onion, coriander, cornstarch, pepper, cooking oil, mayonnaise aji-mayo® original flavor, Aji-ngon® seasoning seeds, large scallops: 200g, chives: 200g, chili peppers: 1 fruit, minced garlic, pepper, cooking oil Aji-mayo® original taste, Aji-ngon® chicken seasoning"
Bó củi bào ngư,"Thịt đùi heo  100g, Chả lụa   50g, Bào ngư hộp  1 hộp, Trứng gà chiên, cắt sợi  2 quả, Tôm sú luộc  150g (bóc vỏ, chừa đuôi), Cải bẹ xanh  80g (lấy phần lá), Bông hẹ chần   30 cọng, Dưa leo  1 quả, Gừng ngâm chua cắt sợi, ớt sừng cắt sợi, Rau thơm các loại, Nước dừa tươi, đậu phộng rang giã bể, Hành tỏi băm, ớt hiểm băm, Đường, ngũ vị hương, cái bỗng rượu, mật ong, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Thịt đùi heo  100g, Chả lụa   50g, Bào ngư hộp  1 hộp, Trứng gà chiên, cắt sợi  2 quả, Tôm sú luộc  150g (bóc vỏ, chừa đuôi), Cải bẹ xanh  80g (lấy phần lá), Bông hẹ chần   30 cọng, Dưa leo  1 quả, Gừng ngâm chua cắt sợi, ớt sừng cắt sợi, Rau thơm các loại, Nước dừa tươi, đậu phộng rang giã bể, Hành tỏi băm, ớt hiểm băm, Đường, ngũ vị hương, cái bỗng rượu, mật ong, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ""",,,"Xếp cuốn bào ngư ra dĩa, chấm với nước chấm.","Kết hợp cải bẹ xanh với dưa gừng giúp món ăn cân bằng về hàn nhiệt.Sên bỗng rượu với mật ong, giúp bỗng rượu dịu lại và thơm hơn.",,,"100g pork thigh meat, 50g silk rolls, abalone box 1 box, fried chicken eggs, cut 2 fruits, boiled tiger shrimp 150g (peeled, left tail), 80g green mustard (taking the leaf part), 30 stalks of cheeks, cucumber 1 fruit, sour ginger cut yarn, fiber chili chili, herbs of all kinds, fresh coconut water, roasted pounds Aji-ngon® pork, soy sauce ""Fuji"", 100g pork thigh meat, 50g silk rolls, abalone boxes of 1 box, fried chicken eggs, cut 2 fruits, boiled tiger shrimp 150g (peeled, left tail), green mustard greens 80g (taking the leaves), hesitation of 30 stalks, cucumber 1 fruit, ginger soaked in sour and cut peppers, freshly chili, chili, minced garlic. flavor, suddenly wine, honey, Aji-ngon® pork seasoning seeds, soy sauce ""Fuji"""
Bún xào chay,"Bún gạo khô: 200g, Cà rốt: 50g, Nấm linh chi: 50g, Cần tây: 1 cọng, Hành boaro:  1/2 cây, Đậu hũ chiên: 1 miếng, Tàu hũ ki: 1 lá, Ớt hiểm, sa tế, muối, đường, tiêu, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Bún gạo khô: 200g, Cà rốt: 50g, Nấm linh chi: 50g, Cần tây: 1 cọng, Hành boaro:  1/2 cây, Đậu hũ chiên: 1 miếng, Tàu hũ ki: 1 lá, Ớt hiểm, sa tế, muối, đường, tiêu, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""",,,,"Bún gạo chỉ nâm mềm, không nên trụng nước sôi nếu không sẽ bị nát.Chiên tàu hũ ki với lửa vừa, nếu to quá sẽ cháy khét, nhỏ quá sẽ bị dai.Cho bún gạo và xào nhanh tay với lửa lớn để bún không bị bết lại.",,,"Dry rice vermicelli: 200g, carrots: 50g, Ganoderma: 50g, celery: 1 stalk, boaro onion: 1/2 trees, fried tofu: 1 piece, ki tofu: 1 leaf, chili, satay, salt, sugar, pepper, MSG AJI-NO-MOTO®, soy sauce ""Fuji"", dried rice vermicelli: 200g, carrot: 50g, Ganoderma: 50g, 1 tean Fry: 1 piece, tofu ki: 1 leaf, dangerous chili, satay, salt, sugar, pepper, Aji-no-Moto® MSG, soy sauce ""Fuji"""
Salad Nga,"Thịt nguội: 1 lát, Trứng gà: 2 quả, Cà rốt: 1 củ, Đậu bi: 50g, Ngò tây: 1nhánh, Khoai tây: 2 củ, Muối, tiêu, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Thịt nguội: 1 lát, Trứng gà: 2 quả, Cà rốt: 1 củ, Đậu bi: 50g, Ngò tây: 1nhánh, Khoai tây: 2 củ, Muối, tiêu, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,,Khi luộc trứng nên khuấy nhẹ để giữ lòng đỏ ở giữa.Rau củ sau khi luộc xong nên ngâm vào nước đã để giữ độ giòn và màu sắc.,,,"Cold meat: 1 slice, chicken eggs: 2 fruits, carrots: 1 tubers, beans: 50g, cilantro: 1nh, potato: 2 tubers, salt, pepper, mayonnaise aji-mayo® original flavor, cold meat: 1 slice, chicken eggs: 2 fruits, carrots: 1 tubers, bean beans: 50g, cilantro: 1nh, potato: 2 tubers, salt, x mayonnaise Ajay"
Bắp bò xào sả ớt cơm cháy,"Bắp bò                300g, Sả băm               2M, Sả cây bào mỏng        1 cây, Tỏi băm               1M, Ớt băm                1m, Cơm trắng            1 chén, Đầu hành lá, ớt sừng cắt sợi, mỡ hành, Tiêu, đường, ngũ vị hương, Bột cà ri, dầu điều, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Bắp bò                300g, Sả băm               2M, Sả cây bào mỏng        1 cây, Tỏi băm               1M, Ớt băm                1m, Cơm trắng            1 chén, Đầu hành lá, ớt sừng cắt sợi, mỡ hành, Tiêu, đường, ngũ vị hương, Bột cà ri, dầu điều, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo","Bắp bò để tủ đá 15 phút, lấy ra cắt mỏng, ướp với 1/3m ngũ vị hương, 1/3m bột cà ri, 1/2m bột ngọt AJI-NO-MOTO®, 1/2M hạt nêm Aji-ngon®, 1M dầu điều, 1M sả băm, 1 M tỏi băm trộn đều, để thấm.",,"Cho bắp bò ra dĩa, rắc ít tiêu, ăn kèm với cơm cháy.",Làm cơm cháy khi cơm còn nóng thì độ kết dính sẽ tốt hơn.Xào nhanh tay với lửa lớn để thịt bò không bị dai và ra nhiều nước.,,,"300g beef corn, minced lemongrass 2m, lemongrass thin tree 1 tree, minced garlic, minced chili 1m, white rice 1 cup, scallion head, chili cutting fiber, grease onion, pepper, sugar, five flavors, curry powder, cashew oil, cooking oil, Aji-no-moto®, Aji-ngon® pork seasoning seeds, 300g beef, 2m lemongrass, lemongrass, minced rice with 1 cup, minced rice with 1 cup, minced rice with minced rice, minced rice with 1 cup, minced rice with 1 cup, minced rice with 1 cup of rice, minced rice with 1 cup of rice leaves, 1 cup of minced leaves 1 Horn chili cut fibers, onion fat, pepper, sugar, five flavors, curry powder, cashew oil, cooking oil, Aji-no-moto® MSG, Aji-ngon® pork seed seeds"
Giò heo kho nấm đông cô,"Giò heo: 800g, Nấm đông cô khô: 50g, Ớt hiểm khô:  5 trái, Tỏi: 10 tép, Dừa: 1 trái, Hành tím băm, nước hành tỏi, Dầu ăn, tiêu đen bể, muối, dầu hào, Bột ngọt AJI-NO-MOTO®, Giò heo: 800g, Nấm đông cô khô: 50g, Ớt hiểm khô:  5 trái, Tỏi: 10 tép, Dừa: 1 trái, Hành tím băm, nước hành tỏi, Dầu ăn, tiêu đen bể, muối, dầu hào, Bột ngọt AJI-NO-MOTO®",,,,"Chiên giò heo để tạo mùi thơm, độ săn, giảm chất béo.Ướp nấm đông cô để loại bỏ bớt độ nồng của nấm và tạo mùi thơm cho món ăn.",,,"Pork rolls: 800g, dried shiitake mushrooms: 50g, dried peppers: 5 fruits, garlic: 10 cloves, coconut: 1 fruit, minced shallots, garlic onion water, cooking oil, black pepper, salt, oyster sauce, Aji-no-moto®, pork rolls: 800g, dried shiitake mushrooms: 50g, dried chili: 5 fruits, garlic: 10 cloves, coconuts: 1 fruit, minc Aji-no-moto®"
Thịt vịt xào củ cải muối,"Ức vịt (không xương, còn da): 250 g (khứa, áp chảo), Dưa gừng Nhật (màu hồng): 50 g, Củ cải muối (loại sợi): 180g (đã ngâm và vắt ráo cho khỏi mặn), Ớt Đà Lạt vàng: 50 g, Hành tây: 1/2 củ, Nước dừa tươi: 1/2 chén, Cà bi: 100 g, Gừng: 50 g (Cắt sợi nhuyễn), Hành tỏi băm: 1M, RAU NÊM:	Hành lá, ngò rí, Gia vị: dầu ăn, đường, tiêu, muối, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo, Ức vịt (không xương, còn da): 250 g (khứa, áp chảo), Dưa gừng Nhật (màu hồng): 50 g, Củ cải muối (loại sợi): 180g (đã ngâm và vắt ráo cho khỏi mặn), Ớt Đà Lạt vàng: 50 g, Hành tây: 1/2 củ, Nước dừa tươi: 1/2 chén, Cà bi: 100 g, Gừng: 50 g (Cắt sợi nhuyễn), Hành tỏi băm: 1M, RAU NÊM:	Hành lá, ngò rí, Gia vị: dầu ăn, đường, tiêu, muối, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo",,,Món ăn ngon đi kèm:Canh cá hồng,"Thịt vịt có tính hàn nên kết hợp với gừng tạo ấm, giúp cân bằng hàn nhiệt chomón ăn.Chiêngừng sợi trước giúp dầu thơm ngon hợn khi xào.Ngâm củ cải muối với nước có pha muối giúp giảm mặn trong củ cải nhanh hơn.",,,"Duck breast (boneless, skin): 250 g (pan, pan), Japanese ginger melon (pink): 50 g, salt radish (fiber type): 180g (soaked and squeezed to prevent salinity), yellow chili: 50 g, onion: 1/2 tubers, fresh coconut water: 1/2 cup, bi bi: 100 g, ginger: 50 g (cut puree) Salt, fermented rice vinegar ""Ajinomoto"", Aji-ngon® pork seasoning seeds, duck breast (boneless, skin): 250 g (pan, pan), Japanese ginger melon (pink): 50 g, salt radish (fiber): 180g (soaked and squeezed for salty), yellow chili peppers: 50 g, onion: 1/2 tubers, fresh coconut water: 1/2 cup, ginger: 50 g (Ginger) Minced: 1m, vegetable: Scallions, coriander, spices: cooking oil, sugar, pepper, salt, fermented rice vinegar ""Ajinomoto"", Aji-ngon® pig seasoning seeds"
Pancake khoai lang mật ong,"Khoai lang tím: 200g, Kem tươi: 70g, Bơ lạt: 30g, Mật ong: 50g, Hạt dẻ cười: 30g, RAU NÊM: húng lủi, Dụng cụ: túi tam giác bắt kem, Bột bánh rán pha sẵn vị truyền thống, Khoai lang tím: 200g, Kem tươi: 70g, Bơ lạt: 30g, Mật ong: 50g, Hạt dẻ cười: 30g, RAU NÊM: húng lủi, Dụng cụ: túi tam giác bắt kem, Bột bánh rán pha sẵn vị truyền thống",,,"Xếp bánh rán ra dĩa, cho nhân lên lần lượt 3 lớp bánh, trang trí với hạt dẻ cười rắc lên mặt.",Tán khoai khi còn nóng sẽ giúp cho khoai dễ mịn hơn.Rang sơ hạt dẻ cười giúp món ăn được thơm hơn.,,,"Purple sweet potato: 200g, fresh cream: 70g, butter: 30g, honey: 50g, pistachios: 30g, vegetable: basil, tools: Triangular bag to catch cream, traditional flavored donut powder, Purple sweet potato: 200g, fresh cream: 30g, honey: 50g, pistil"
Củ sen chiên tôm,"Củ sen : 600g, Tôm tươi: 200g, Giò sống: 250g, Trứng gà: 2 quả, Bột xù: 100g, Bột mì: 150g, Đường, tiêu, Hành, tỏi bằm, ngò rí, ớt, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Ngọt Dịu, Củ sen : 600g, Tôm tươi: 200g, Giò sống: 250g, Trứng gà: 2 quả, Bột xù: 100g, Bột mì: 150g, Đường, tiêu, Hành, tỏi bằm, ngò rí, ớt, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Ngọt Dịu",,,,"Củ sen to, có máu nhạt, còn tươi.Nên chiên ở lửa vừa, khi món ăn vừa chín tăng lửa lên để món ăn được giòn.",,,"Lotus root: 600g, fresh shrimp: 200g, live rolls: 250g, chicken eggs: 2 fruits, ruffled flour: 100g, flour: 150g, sugar, pepper, onion, minced garlic, coriander, chili, Aji-ngon® seasoning seeds, mayonnaise aji-mayo® sweet taste, lotus root: 600g, fresh shrimp: 200g, spring rolls: 250g, chicken egg Pepper, onions, minced garlic, coriander, chili, Aji-ngon® pork seasoning seeds, mayonnaise Aji-Mayo®"
Bí xanh nhồi sườn hấp,"Bí đao xanh : 1 trái, Giò sống : 50g, Sườn non : 150g, Nấm hương cắt sợi : 1M, Hành tím nướng : 2 củ, Ớt sừng băm, Ngò rí, Gừng cắt sợi, Bột năng, dầu mè, dầu hào, Tiêu, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Bí đao xanh : 1 trái, Giò sống : 50g, Sườn non : 150g, Nấm hương cắt sợi : 1M, Hành tím nướng : 2 củ, Ớt sừng băm, Ngò rí, Gừng cắt sợi, Bột năng, dầu mè, dầu hào, Tiêu, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®",,,,Chọn sườn non dày thịt và xương nhỏ để hấp mau mềm.Dùng nước om sườn và nước hấp để làm xốt giúp món ăn có hương vị đậm đà.,,,"Green squash: 1 fruit, raw rolls: 50g, young ribs: 150g, shiitake mushrooms: 1m, grilled shallots: 2 tubers, minced horns, coriander, ginger cut fibers, tapioca flour, sesame oil, oyster sauce, pepper, Aji-ngon® pork seeds, Aji-no-moto® MSG, green squash: 1 fruit, raw spring roll Ri, ginger cut fibers, tapioca, sesame oil, oyster sauce, pepper, Aji-ngon® seasoning seeds, Aji-no-Moto® MSG"
Canh chua Thái,"Tôm càng lóng: 8 con, Nấm rơm: 200g, Hành tím củ: 100g, Cà chua chín đỏ: 2 quả, Lá chúc: 8 Lá, Sả cây: 2 cây, Ớt hiểm: 10 quả, Gừng sợi: 1M, Riềng sợi: 2M, Nước dừa: 500ml, Cốt dừa: 1 chén nhỏ, Cốt chanh: 1M, RAU NÊM: Ngò rí, ĂN KÈM:	Cơm, bún, Gia vị: Dầu điều, nước mắm, muối, đường, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Giấm gạo lên men ""Ajinomoto"", Tôm càng lóng: 8 con, Nấm rơm: 200g, Hành tím củ: 100g, Cà chua chín đỏ: 2 quả, Lá chúc: 8 Lá, Sả cây: 2 cây, Ớt hiểm: 10 quả, Gừng sợi: 1M, Riềng sợi: 2M, Nước dừa: 500ml, Cốt dừa: 1 chén nhỏ, Cốt chanh: 1M, RAU NÊM: Ngò rí, ĂN KÈM:	Cơm, bún, Gia vị: Dầu điều, nước mắm, muối, đường, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Giấm gạo lên men ""Ajinomoto""",,"Rang thơm càng tôm, vỏ tôm, cho thêm 0,5l nước nấu trong 5 phút, lược lại làm nước dùng.Xàothơm gừng, riềng, sả, ớt với dầu điều. Cho hành, nấm rơm vào xào nhanh. Thêm nước dừa + nước để đủ 1l nêm 2M Giấm gạo lên men, 1M cốt chanh, 1/2m hạt nêm heo, 1M đường, 1/2M bột ngọt, 1/4M muối, 4M nước mắm nếm vị chua mặn vừa ăn. Cho tôm, xé lá chanh vào nấu tôm chín, sau cùng cho cốt dừa vào đảo đều, tắt bếp hoàn tất.","Cho canh ra tô rắc ngò lên trên, dùng nóng với cơm hay bún miến v.v.. Món ăn ngon đi kèm:Sườn non kho củ sen",Lôt bỏ vỏ mình tôm để tôm thấm vị nhưng vẫn giữ được nguyên con tôm.Món canhtrông hấp dẫn hơn.Cho cả giấm và chanh tạo vị chua hài hòa.Cho cốt dừa và lá chúc sau cùng để giữ được vị béo và thơm đặc trưng của nguyên liệu.,,,"Shrimp with slanger: 8 children, mushrooms: 200g, purple onion: 100g, ripe red tomatoes: 2 fruits, leaves: 8 leaves, lemongrass: 2 trees, dangerous chili: 10 fruits, ginger yarn: 1m, galangal: 2m, coconut water: 500ml, coconut: 1 cup small, lemon: 1m, vegetable: Cilan Aji-ngon® pig, fermented rice vinegar ""ajinomoto"", slang shrimp: 8 children, mushrooms: 200g, purple onion: 100g, ripe red tomatoes: 2 fruits, leaves: 8 leaves, lemongrass: 2 trees, chili chili: 10 fruits, ginger yarn: 1m, galangal: 2m, coconut water: 500ml, coconut: 1 small cup, lemon rice, rice noodles: Fish sauce, salt, sugar, Aji-no-Moto® monosodium glutamate, Aji-ngon® pork seasoning seeds, fermented rice vinegar ""Ajinomoto"""
Canh sườn nha đam,"Sườn non		 	200g, Nha đam		 	1 bẹ lớn, Đậu xanh nguyên hạt		 50g, Kỷ tử		 		10g, Hành lá		 		2 nhánh, Ngò rí		 		2 cây, RAU NÊM: hành ngò, ĂN KÈM: Nước mắm, ớt lát, Gia vị: dầu ăn, nước mắm, muối, tiêu, đường, Hạt nêm Aji-ngon® Heo, Sườn non		 	200g, Nha đam		 	1 bẹ lớn, Đậu xanh nguyên hạt		 50g, Kỷ tử		 		10g, Hành lá		 		2 nhánh, Ngò rí		 		2 cây, RAU NÊM: hành ngò, ĂN KÈM: Nước mắm, ớt lát, Gia vị: dầu ăn, nước mắm, muối, tiêu, đường, Hạt nêm Aji-ngon® Heo",,"Xào săn sườn với 1M dầu ăn, thêm 1,5 lít nước, đậu xanh, nêm 1M Hạt nêm Aji-ngon® Heo, 1/2m muối, 1m đường vào nấu nhỏ lửa cho sườn, đậu xanh chín mềm. Cuối cùng cho nha đam và 1/2M nước mắm, tắt lửa.","Múc canh ra tô rắc hành ngò, kỷ tử và tiêu xanh, dùng nóng với cơm.","Rửa nha đam qua nước muối để nha đam bớt nhớt và không bị đắng.Xào sơ sườn để thấm vị, miếng sườn sẽ thơm và ngọt thịt.Dùng đậu xanh nguyên vỏ để giữ chất xơ.",,,"Young ribs 200g, large aloe vera, 2-grain green beans, 10g goji beans, 2-branch scallions, cilantro 2 trees, vegetable: Cilantro, served with fish sauce, chili slices, spices: cooking oil, fish sauce, salt, pepper, sugar, Aji-ngon® pork seeds, young ribs 200g, 1 large beans, green beans, 10g green onion 2 Cilantro, served: fish sauce, chili, spices: cooking oil, fish sauce, salt, pepper, sugar, Aji-ngon® pork seasoning seeds"
Gỏi gà cần tây,"Gà ta: 1/2 con (500g), Cần tây: 100g, Đậu rồng non: 100g, Cà rốt: 1.5 củ (150g), Hành tây tím: 1/2 củ (50g), Bánh tráng mè: 1.5 cái đã nướng (90g), Đường: 1M (10g), Mè: 1M (8g), Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản:	20g, Hành phi:	2g, Muối: 1/2m (2g), Bột ngọt: 1.5m (8.5g), Nước mắm: 1M (8ml), Gạo nấu cháo: 3/4 chén (140g), Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gà ta: 1/2 con (500g), Cần tây: 100g, Đậu rồng non: 100g, Cà rốt: 1.5 củ (150g), Hành tây tím: 1/2 củ (50g), Bánh tráng mè: 1.5 cái đã nướng (90g), Đường: 1M (10g), Mè: 1M (8g), Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản:	20g, Hành phi:	2g, Muối: 1/2m (2g), Bột ngọt: 1.5m (8.5g), Nước mắm: 1M (8ml), Gạo nấu cháo: 3/4 chén (140g), Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản","🐔 Sơ chế gà: luộc chín trong nước có thêm 1m hạt nêm, 2 củ hành tím nướng, gỡ thịt, xé sợi. Ướp thịt gà với 1/2m tiêu, 1/2m Bột ngọt AJI-NO-MOTO®, 2m nước chanh, hành tây tím cắt sợi. 🍅🥬Sơ chế rau: Đậu rồng và cần tây cắt lát xéo, ngò gai húng lủi cắt nhỏ.","🥣 Pha nước trộn gỏi:1/2m muối, 1m Bột ngọt AJI-NO-MOTO®, 1M đường, 1/2M nước cốt chanh, 1m tỏi, ớt băm tùy, 1M nước mắm. 🥗 Trộn thịt gà với đậu rồng, cần tây, cà rốt, nươc trộn gỏi, 3M Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, ớt sợi. Cuối cùng là mè rang, hành phi, rau húng lủi, ngò gai.",Trình bày ra đĩa và ăn kèm bánh tráng mè nướng. 🍽️ Món ăn ngon đi kèm:Cháo gà (nấu 140g gạo – 2/3 chén ăn cơm với nước dùng và huyết gà cắt hột lựu nhỏ) 🍩 Tráng miệng:Bánh rán chocolate đậu đỏ,"Sau khi luộc gà, để nguội rồi mới xé thịt đểgiữ nước ngọt bên trong thịt gà.Để các loại rau vào tủ mát trước khi trộnrau sẽ giòn và ngon hơn.",,,"Chicken: 1/2 (500g), celery: 100g, young dragon beans: 100g, carrots: 1.5 tubers (150g), purple onions: 1/2 tubers (50g), sesame rice paper: 1.5 baked pieces (90g), sugar: 1m (10g), sesame: 1m (8g), mayonnaise aji-mayo® Originally flavored: 20g, 2g, 2m, 2m, 2m, 2m, 2m, 2m, 2m (2m) Sweet: 1.5m (8.5g), fish sauce: 1m (8ml), Porridge cooked rice: 3/4 cup (140g), Aji-no-moto® monosodium glutamate, mayonnaise aji-mayo® original taste, chicken: 1/2 head (500g), Western celery: 100g, young dragon beans: 100g, carrots: 1.5 tubers (150g) (90g), sugar: 1m (10g), sesame: 1m (8g), mayonnaise Aji-Mayo® original: 20g, non-onion: 2g, salt: 1/2m (2g), MSG: 1.5M (8.5g), fish sauce: 1m (8ml), rice cooked rice: 3/4 cup (140g), MSG AJI Copy"
Pancake nhân dừa,"Dừa rám bào sợi     200g, Nước cốt dừa ép     5M, Dâu tây      4 trái, RAU NÊM: húng lủi, Gia vị:  đường, mật ong, Bột bánh rán pha sẵn vị truyền thống, Dừa rám bào sợi     200g, Nước cốt dừa ép     5M, Dâu tây      4 trái, RAU NÊM: húng lủi, Gia vị:  đường, mật ong, Bột bánh rán pha sẵn vị truyền thống","Sên nhân dừa: cho 3M đường vào chảo đun với lửa vừa tạo caramel, đến khi caramel vừa chuyển màu cánh gián cho thêm 2M nước vào khuấy đều, tiếp theo là cho dừa vào sên cùng với 5M nước cốt dừa","Đổ bánh pancake: pha 1 gói Bột bánh rán với nước theo hướng dẫn trên bao bì. Đặt chảo không dính lên bếp đun nóng, sau đó cho chảo lên khăn ướt để chảo nguội bớt rồi chuyển lại lên bếp, giảm nhỏ lửa, dùng vá canh múc bột đổ vào giữa chảo, đổ bánh với đường kính khoảng 10-12cm, đợi mặt bánh se lại, bánh nổi những bong bóng nhỏ, viền bánh se lại thì dùng sạn nhựa lật mặt bánh lại rán thêm 30 giây cho mặt bánh chín rồi lấy ra dĩa. Tiếp tục đổ cho hết bột.","Xếp bánh rán ra dĩa, phết một lớp nhân dừa và xếp một lớp dâu tây cắt lát lên, dùng 1 chiếc bánh rán khác kẹp lại. Trang trí với húng lủi, dâu tây và mật ong.",Cho nước vào sau khi thắng caramel giúp hạ nhiệt độ và kiểm soát màu của caramel.,,,"Coconut pitony yarn 200g, 5m pressed coconut milk, 4 fruit strawberries, vegetable: basil, spices: sugar, honey, traditional flavored donut flour, coconut pit"
Salad tôm đậu hũ,"Đậu hũ Nhật		 	100g, Tôm sú		 		200g, Bông cải xanh		 	100g, Cà chua bi		 	30g, Đậu cô ve Nhật		 	20g, Xà lách carol		 	20g, Hành tây		 	1/2 củ, Nước cốt chanh 		 2M, Tỏi băm		 	1M, Gừng băm nhỏ 			1M, RAU NÊM: Ngò cắt khúc, húng lủi, mè rang, Gia vị: Đường, tiêu, muối, dầu ăn, Nước tương ""Phú Sĩ"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Đậu hũ Nhật		 	100g, Tôm sú		 		200g, Bông cải xanh		 	100g, Cà chua bi		 	30g, Đậu cô ve Nhật		 	20g, Xà lách carol		 	20g, Hành tây		 	1/2 củ, Nước cốt chanh 		 2M, Tỏi băm		 	1M, Gừng băm nhỏ 			1M, RAU NÊM: Ngò cắt khúc, húng lủi, mè rang, Gia vị: Đường, tiêu, muối, dầu ăn, Nước tương ""Phú Sĩ"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,"Xếp bông cải, đậu cô ve, cà chua bi, xà lách, hành tây ra đĩa sau đó cho đậu hũ lên trên cùng với tôm, tiếp theo là rưới phần nước sốt xung quanh, rắc ngò, lá húng lủi và mè rang, cuối cùng topping Xốt Mayonnaise Aji-mayo®.",Rau sau khi trụng ngâm vào nước đá giúp giữ được màu xanh của rau.Áp chảo tôm cùng với nước sốt giúp tôm không bị khô và thấm vị.Ngắt rối lá húng lủi để tạo mùi thơm cho món ăn.,,,"Japanese tofu 100g, black tiger shrimp 200g, 100g broccoli, 30g tomato tomatoes, Japanese beans 20g, carol salad 20g, onion 1/2 tubers, 2m lemon juice, minced garlic, minced ginger 1m, vegetable: cilantro, basil, roasted sesame, spice: sugar, pepper, salt, cooking oil, soy sauce 100g, 200g tiger shrimp, 100g broccoli, 30g tomato tomatoes, 20g Japanese beans, 20g carol salad, 1/2 onion, 2m lemon juice, 1m minced garlic, 1m minced ginger, vegetable: Corianoma, basil, roasted sesame, spices: sugar, pepper, salt, cooking oil, soy sauce"
Cá sòng nướng muối hạt,"Cá sòng: 600g/ 4 con, Sả nguyên cây: 5 cây, Lá chanh thái: 10 lá, Nước chanh: 2M, Thơm chín: 30g, Ớt sừng băm: 1/2M, Hạt xuyên tiêu: 1/2M, Tiêu xanh: 3 nhánh, Muối hạt to: 800g, Tỏi băm: 1/2M, RAU NÊM: rau thơm và dưa leo., Gia vị:  nước mắm, đường,, Bột ngọt AJI-NO-MOTO®, Cá sòng: 600g/ 4 con, Sả nguyên cây: 5 cây, Lá chanh thái: 10 lá, Nước chanh: 2M, Thơm chín: 30g, Ớt sừng băm: 1/2M, Hạt xuyên tiêu: 1/2M, Tiêu xanh: 3 nhánh, Muối hạt to: 800g, Tỏi băm: 1/2M, RAU NÊM: rau thơm và dưa leo., Gia vị:  nước mắm, đường,, Bột ngọt AJI-NO-MOTO®",,,,Chọn muối hạt to giúp hạn chế lượng muối thấm vào cá.Rang nóng muối hạt trước giúp làm tăng nhiệt độ và cho cá chín đều hơn.Lót sả vào đáy chảo giúp chống dính và tăng mùi thơm cho món cá nướng.Ướp cá với chanh và bột ngọt ajinomoto up giúp tăng vị ngọt tự nhiên và khử mùi tanh của cá,,,"Army fish: 600g/4 fish, lemongrass tree: 5 trees, Thai lemon leaves: 10 leaves, lemon juice: 2m, aromatic ripe: 30g, minced horn chili: 1/2m, pepper seeds: 1/2m, green pepper: 3 branches, large seeds: 800g, minced garlic: 1/2m, vegetable: herbs and cucumber. Plants: 5 trees, Thai lemon leaves: 10 leaves, lemon juice: 2m, fragrant ripe: 30g, minced horn chili: 1/2m, pepper seeds: 1/2m, green pepper: 3 branches, large seed salt: 800g, minced garlic: 1/2m, vegetable: herbs and cucumber"
